Header,Description
Types of accounts which can be maintained by an NRI / PIO in India,"A. Non-Resident Ordinary Rupee Account (NRO Account)
Any person resident outside India may open NRO account with an authorised dealer or an authorised bank for the purpose of putting through bona fide transaction in rupees.
Opening of accounts by individual/ entities of Pakistan and entities of Bangladesh require prior approval of Reserve Bank of India.
NRO accounts may be opened / maintained in the form of current, savings, recurring or fixed deposit accounts.
● Savings Account - Normally maintained for crediting legitimate dues /earnings / income such as dividends, interest etc. Banks are free to determine the interest rates.
● Term Deposits - Banks are free to determine the interest rates. Interest rates offered by banks on NRO deposits cannot be higher than those offered by them on comparable domestic rupee deposits.
● Account should be denominated in Indian Rupees.
● Permissible credits to NRO account are transfers from rupee accounts of non-resident banks, remittances received in permitted currency from outside India through normal banking channels, permitted currency tendered by account holder during his temporary visit to India, legitimate dues in India of the account holder like current income like rent, dividend, pension, interest, etc., sale proceeds of assets including immovable property acquired out of rupee/ foreign currency funds or by way of legacy/ inheritance.
● Eligible debits such as all local payments in rupees including payments for investments as specified by the Reserve Bank and remittance outside India of current income like rent, dividend, pension, interest, etc., net of applicable taxes, of the account holder.
● NRI/PIO may remit from the balances held in NRO account an amount not exceeding USD one million per financial year, subject to payment of applicable taxes.
● The limit of USD 1 million per financial year includes sale proceeds of immovable properties held by NRIs/ PIOs.
● Other than current income and the limit of USD 1 Mn per financial year applicable to NRIs/PIOs, balances in NRO accounts cannot be repatriated without the prior approval of RBI.
● The accounts may be held jointly with residents and / or with non-resident Indian.
● The NRO account holder may opt for nomination facility.
● NRO (current/savings) account can also be opened by a foreign national of non-Indian origin visiting India, with funds remitted from outside India through banking channel or by sale of foreign exchange brought by him to India. The details of this facility are given in the FAQs on “Accounts opened by Foreign Nationals and Foreign Tourists” available on the RBI website.
● Loans to non-resident account holders and to third parties may be granted in Rupees by Authorized Dealer / bank against the security of fixed deposits subject to certain terms and conditions.
B. Non-Resident (External) Rupee Account (NRE Account)
● NRE account may be in the form of savings, current, recurring or fixed deposit accounts (with maturity of minimum one year). Such accounts can be opened only by the NRI (as defined under Regulation 2(vi) of Notification No. FEMA 5/2000-RB dated May 3, 2000) himself and not through the holder of the power of attorney.
● NRIs may be permitted to open NRE account with their resident close relatives (relative as defined in Section 6 of the Companies Act, 1956) on ‘former or survivor ‘basis. The resident close relative shall be eligible to operate the account as a Power of Attorney holder in accordance with the extant instructions during the life time of the NRI/PIO account holder.
● Account will be maintained in Indian Rupees.
● Balances held in the NRE account are freely repatriable.
● Accrued interest income and balances held in NRE accounts are exempt from Income tax and Wealth tax, respectively.
● Authorised dealers/authorised banks may at their discretion/commercial judgement allow for a period of not more than two weeks, overdrawings in NRE savings bank accounts, up to a limit of Rs.50,000 subject to the condition that such overdrawings together with the interest payable thereon are cleared/repaid within a period of two weeks, out of inward remittances through normal banking channels or by transfer of funds from other NRE/FCNR accounts.
● Savings - Banks are free to determine the interest rates.
● Term deposits – Banks are free to determine the interest rates of term deposits of maturity of one year and above. Interest rates offered by banks on NRE deposits cannot be higher than those offered by them on comparable domestic rupee deposits.
● Permissible credits to NRE account are inward remittance to India in permitted currency, proceeds of account payee cheques, demand drafts / bankers' cheques, issued against encashment of foreign currency, where the instruments issued to the NRE account holder are supported by encashment certificate issued by AD Category-I / Category-II, transfers from other NRE / FCNR accounts, sale proceeds of FDI investments, interest accruing on the funds held in such accounts, interest on Government securities/dividends on units of mutual funds purchased by debit to the NRE/FCNR(B) account of the holder, certain types of refunds, etc.
● Eligible debits are local disbursements, transfer to other NRE / FCNR accounts of person eligible to open such accounts, remittance outside India, investments in shares / securities/commercial paper of an Indian company, etc.
● Loans can be extended against security of funds held in NRE Account either to the depositors or third parties without any ceiling subject to usual margin requirements.
● Such accounts can be operated through power of attorney in favour of residents for the limited purpose of withdrawal of local payments or remittances through normal banking channels to the account holder himself.
C. Foreign Currency Non Resident (Bank) Account – FCNR (B) Account
● NRIs are eligible to open and maintain these accounts.
● FCNR (B) accounts are only in the form of term deposits of 1 to 5 years
● All debits / credits permissible in respect of NRE accounts, including credit of sale proceeds of FDI investments, are permissible in FCNR (B) accounts also.
● Account can be held in any freely convertible currency.
● Loans can be extended against security of funds held in FCNR (B) deposit either to the depositors or third parties without any ceiling subject to usual margin requirements.
● The interest rates are stipulated by the Department of Banking Operations and Development, Reserve Bank of India. With effect from March 1, 2014, in respect of FCNR (B) deposits of maturities, 1 year to less than 3 years, interest shall be paid within the ceiling rate of LIBOR/ SWAP rates plus 200 basis points for the respective currency/ corresponding maturity. For FCNR(B) deposits with maturity of 3-5 years interest shall be paid within the ceiling rate of LIBOR/ SWAP rates plus 300 basis points. On floating rate deposits, interest shall be paid within the ceiling of SWAP rates for the respective currency/ maturity plus 200 bps/ 300 bps, as the case may be. For floating rate deposits, the interest reset period shall be six months.
● When an account holder becomes a person resident in India, deposits may be allowed to continue till maturity at the contracted rate of interest, if so desired by him.
● Terms and conditions as applicable to NRE accounts in respect of joint accounts, repatriation of funds, opening account during temporary visit, operation by power of attorney, loans/overdrafts against security of funds held in accounts, shall apply mutatis mutandis to FCNR (B). NRI can open joint account with a resident close relative (relative as defined in Section 6 of the Companies Act, 1956) on former or survivor basis. The resident close relative will be eligible to operate the account as a Power of Attorney holder in accordance with extant instructions during the life time of the NRI/ PIO account holder."
"Is the permission of the Reserve Bank required for opening the various accounts, mentioned above, by Bangladesh / Pakistan individuals/entities?","Opening of accounts by individuals/entities of Pakistan and entities of Bangladesh nationality requires prior approval of the Reserve Bank.. All such requests may be referred to the General Manager, Foreign Exchange Department, Central Office Cell, Reserve Bank of India, 6 Sansad Marg, New Delhi - 110 001. However, individuals of Bangladesh nationality are permitted to open NRO accounts without the prior approval of Reserve Bank of India, subject to conditions."
Can an individual resident Indian borrow money from his close relatives outside India?,"Yes, an individual resident Indian can borrow a sum not exceeding USD 250,000 or its equivalent from his close relatives3 staying outside India, subject to the conditions that:
the minimum maturity period of the loan is one year;
the loan is free of interest; and
the amount of loan is received by inward remittance in free foreign exchange through normal banking channels or by debit to the NRE/FCNR(B) account of the NRI."
Can an individual resident lend money to his close relative NRI / PIO?,"Yes, an individual resident can lend money by way of crossed cheque /electronic transfer within the overall limit prescribed under the Liberalised Remittance Scheme, to meet the borrower’s personal or business requirements in India, subject to conditions. The loan should be interest free and have a maturity of minimum one year and cannot be remitted outside India."
Can an individual resident repay loans of close relative NRIs to banks in India?,"Yes, where an authorised dealer in India has granted loan to a non-resident Indian such loans may also be repaid by resident close relative (relative as defined in Section 6 of the Companies Act, 1956), of the Non-Resident Indian by crediting the borrower's loan account through the bank account of such relative."
What are the other facilities available to NRIs/PIO?,"A. Investment facilities for NRIs
NRI may, without limit, purchase on repatriation basis:
● Government dated securities / Treasury bills
● Units of domestic mutual funds;
● Bonds issued by a public sector undertaking (PSU) in India.
● Non-convertible debentures of a company incorporated in India.
● Perpetual debt instruments and debt capital instruments issued by banks in India.
● Shares in Public Sector Enterprises being dis-invested by the Government of India, provided the purchase is in accordance with the terms and conditions stipulated in the notice inviting bids.
● Shares and convertible debentures of Indian companies under the FDI scheme (including automatic route & FIPB), subject to the terms and conditions specified in Schedule 1 to the FEMA Notification No. 20/2000- RB dated May 3, 2000, as amended from time to time.
● Shares and convertible debentures of Indian companies through stock exchange under Portfolio Investment Scheme, subject to the terms and conditions specified in Schedule 3 to the FEMA Notification No. 20/2000- RB dated May 3, 2000, as amended from time to time.
NRI may, without limit, purchase on non-repatriation basis :
● Government dated securities / Treasury bills
● Units of domestic mutual funds
● Units of Money Market Mutual Funds
● National Plan/Savings Certificates
● Non-convertible debentures of a company incorporated in India
● Shares and convertible debentures of Indian companies through stock exchange under Portfolio Investment Scheme, subject to the terms and conditions specified in Schedules 3 and 4 to the FEMA Notification No. 20/2000- RB dated May 3, 2000, as amended from time to time.
● Exchange traded derivative contracts approved by the SEBI, from time to time, out of INR funds held in India on non-­repatriable basis, subject to the limits prescribed by the SEBI.
Note : NRIs are not permitted to invest in small savings or Public Provident Fund (PPF).
B. Investment in Immovable Property
● NRI5 / PIO4 may acquire/transfer immovable property in India other than agricultural land/ plantation property or a farm house out of repatriable and / or non-repatriable funds.
● Foreign national of non Indian origin resident outside India shall not acquire/transfer any immovable property in India other than on lease not exceeding five years, without prior approval of Reserve Bank of India.
● The payment of purchase price, if any, should be made out of
(i) funds received in India through normal banking channels by way of inward remittance from any place outside India or
(ii) funds held in any non-resident account maintained in accordance with the provisions of the Act and the regulations made by the Reserve Bank.
Note : No payment of purchase price for acquisition of immovable property shall be made either by traveller’s cheque or by foreign currency notes or by other mode other than those specifically permitted as above.
● NRI may acquire any immovable property in India other than agricultural land / farm house plantation property, by way of gift from a person resident in India or from a person resident outside India who is a citizen of India or from a person of Indian origin resident outside India
● NRI may acquire any immovable property in India by way of inheritance from a person resident outside India who had acquired such property in accordance with the provisions of the foreign exchange law in force at the time of acquisition by him or the provisions of these Regulations or from a person resident in India
● An NRI may transfer any immovable property in India to a person resident in India.
● NRI may transfer any immovable property other than agricultural or plantation property or farm house to a person resident outside India who is a citizen of India or to a person of Indian origin resident outside India.
In respect of such investments, NRIs are eligible to repatriate:
● The sale proceeds of immovable property in India if the property was acquired out of foreign exchange sources i.e. remitted through normal banking channels / by debit to NRE / FCNR (B) account.
● The amount to be repatriated should not exceed the amount paid for the property in foreign exchange received through normal banking channel or by debit to NRE account (foreign currency equivalent, as on the date of payment) or debit to FCNR (B) account.
● In the event of sale of immovable property, other than agricultural land / farm house / plantation property in India, by a person resident outside India who is a citizen of India / PIO, the repatriation of sale proceeds is restricted to not more than two residential properties subject to certain conditions.
● If the property was acquired out of Rupee sources, NRI or PIO may remit an amount up to USD one million per financial year out of the balances held in the NRO account (inclusive of sale proceeds of assets acquired by way of inheritance or settlement), for all the bonafide purposes to the satisfaction of the Authorized Dealer bank and subject to tax compliance.
● Refund of (a) application / earnest money / purchase consideration made by house-building agencies/seller on account of non-allotment of flats / plots and (b) cancellation of booking/deals for purchase of residential/commercial properties, together with interest, net of taxes, provided original payment is made out of NRE/FCNR (B) account/inward remittances.
Repayment of Housing Loan of NRI / PIOs by close relatives of the borrower in India
Housing Loan in rupees availed of by NRIs/ PIOs from ADs / Housing Financial Institutions in India can be repaid by the close relatives in India of the borrower.
C. Facilities to returning NRIs/PIOs
● Returning NRIs/PIOs may continue to hold, own, transfer or invest in foreign currency, foreign security or any immovable property situated outside India, if such currency, security or property was acquired, held or owned when resident outside India
● The income and sale proceeds of assets held abroad need not be repatriated.
Foreign Currency Account
● A person resident in India who has gone abroad for studies or who is on a visit to a foreign country may open, hold and maintain a Foreign Currency Account with a bank outside India during his stay outside India, provided that on his return to India, the balance in the account is repatriated to India. However, short visits to India by the student who has gone abroad for studies, before completion of his studies, shall not be treated as his return to India.
● A person resident in India who has gone out of India to participate in an exhibition/trade fair outside India may open, hold and maintain a Foreign Currency Account with a bank outside India for crediting the sale proceeds of goods on display in the exhibition/trade fair. However, the balance in the account should be repatriated to India through normal banking channels within a period of one month from the date of closure of the exhibition/trade fair.
Resident Foreign Currency Account
● A person resident in India may open, hold and maintain with an authorised dealer in India a Resident Foreign Currency (RFC) Account.
● Proceeds of assets held outside India at the time of return can be credited to RFC account.
● The funds in RFC accounts are free from all restrictions regarding utilisation of foreign currency balances including any restriction on investment in any form outside India.
● RFC accounts can be maintained in the form of current or savings or term deposit accounts, where the account holder is an individual and in the form of current or term deposits in all other cases.RFC accounts are permitted to be held jointly with a resident close relative(s) as defined in the Companies Act, 1956 as joint holder (s) in their RFC bank account on ‘former or survivor basis’. However, such resident Indian close relative, now being made eligible to become joint account holder shall not be eligible to operate the account during the life time of the resident account holder.
General facilities"
Can Exchange Earners Foreign Currency (EEFC) accounts be held jointly with a -resident Indian?,"Yes, EEFC account of a resident individual can be held jointly with a resident close relative on a ‘former or survivor’ basis.
However, such resident Indian close relative will not be eligible to operate the account during the life time of the resident account holder."
Can a resident individual holding a savings bank account include non-resident close relative as a joint account holder?,"Yes, individuals resident in India are permitted to include non-resident close relative(s) as a joint holder(s) in their resident bank accounts on ‘either or survivor’ basis subject to conditions."
Can a resident individual gift shares/securities/convertible debentures etc to NRI close relative?,"Yes, a resident individual is permitted to gift shares/securities/convertible debentures etc to NRI close relative up to USD 50,000 per financial year subject to certain conditions."
Can a resident individual give rupee gifts to his visiting NRI/PIO close relatives?,"Yes, a resident individual can give rupee gifts to his visiting NRI/PIO close relatives by way of crossed cheque/electronic transfer within the overall limit prescribed under Liberalised Remittance Scheme for the resident individual and the gifted amount should be credited to the beneficiary’s NRO account."
What types of services can be provided by a resident individual to his / her non-resident close relatives?,"A resident may make payment in rupees towards meeting expenses on account of boarding, lodging and services related thereto or travel to and from and within India of a person resident outside India who is on a visit to India. Further, where the medical expenses in respect of NRI close relative are paid by a resident individual, such a payment being in the nature of a resident to resident transaction may also be covered under the term “services”.
1 A Non Resident Indian (NRI) is a person resident outside India, who is a citizen of India or is a person of Indian origin.
2 A Person of Indian Origin (PIO) for this purpose is defined in Regulation 2 of FEMA Notification ibid as a citizen of any country other than Bangladesh or Pakistan, if (a) he at any time held Indian passport; or (b) he or either of his parents or any of his grandparents was a citizen of India by virtue of the Constitution of India or the Citizenship Act, 1955 (57 of 1955); or (c) the person is a spouse of an Indian citizen or a person referred to in sub-clause (a) or (b).
3 'Close relative' means relative as defined in Section 6 of the Companies Act, 1956.
4 'A Person of Indian Origin' means an individual (not being a citizen of Pakistan or Bangladesh or Sri Lanka or Afghanistan or China or Iran or Nepal or Bhutan) who (i) at any time, held an Indian Passport or (ii) who or either of whose father or mother or whose grandfather or grandmother was a citizen of India by virtue of the Constitution of India or the Citizenship Act, 1955 (57 of 1955).
5 For the purpose of acquisition and transfer of immovable property in India an NRI refers to an Indian Citizen resident outside India (Notification No. FEMA 21/2000_RB dated May 3, 2000, as amended from time to time)"
What is the Jurisdiction of District & Sessions Judge?,"As Head of the Department;
Takes decision in all the Administrative and financial matters;
Deals with probate cases with unlimited jurisdiction;
Guardianship cases;
Marking of the Civil cases as per Pecuniary Jurisdiction;
Marking of the Sessions cases to the ASJs;
Transfer of cases;
All other powers as provided in Code of Civil Procedure; Code of Criminal Procedure and other Acts and
all other matters"
What is Jurisdiction of Additional District Judges-,"Pecuniary Jurisdiction of Civil cases vary in different States. 
Appellate Jurisdiction over the orders passed by Civil Judges is with ADJs as also with Senior Civil Judges to a limited extent."
What is Jurisdiction of Additional Sessions Judges-,"Sessions triable cases under IPC where sentence is awarded upto Life Imprisonment and Death Sentence with the approval of Hon’ble High Court,
Appeals and revisions from the orders of Magistrates, C.M.M. , A.C.M.M.
As Special Court of ASJ-
i) NDPS Court
ii) TADA Court
iii) POTA Court 
iv) UAPA Cases
v) Cases under Untouchablity Act 6 Special Judges (ASJ)
vi) (CBI) Cases under Prevention of Corruption Act investigated by Anti Corruption Branch"
What is Jurisdiction of Rent Control Tribunal (ADJ),Appellate Authority of the orders passed by the Additional Rent Controller and Rent Controller
What is Jurisdiction of Motor Accident Claim Tribunal (ADJs),"Compensation claim cases under the Motor Vehicles Act, 1988."
What is Jurisdiction of Labour Court (ADJs),"1)Cases under Industrial Disputes Act, 1947 filed by workmen against management:
  2) Cases under Workmen Compensation Act.
  3) Payment of Wages Act
  4) Bonus Act
  5) The Contract Labour (Regulation & Abolition) Act, 1970
  6) Cases under Industrial Employment (Standing Order) Act, 1946."
What is Jurisdiction of Industrial Tribunal (ADJs),"1) Cases under Industrial Disputes Act, 1947 filed by management against workmen.
    2) Cases under Industrial Employment (Standing Order) Act, 1946.
    3) Complaints in respect of Industrial Dispute between management and workmen referred by the Labour Department."
What is Jurisdiction of Family Courts.,"Cases of matrimonial disputes like Divorce, restitution of conjugal rights and Judicial separation, custody of children."
What is Jurisdiction of Land Acquisition Courts of ADJs.,Dealing with cases under Land Acquisition Act
What is Jurisdiction of Chief Metropolitan Magistrate.,"Trial of offences under Indian Penal Code and other Penal Offences wherein the sentence is awarded upto 7 years,
-The Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
-Collecting Monthly Statements from all the MMs with regard to their work and disposal of cases;
-Cases received from other States;
-Transfer & Posting of Spl MMs and Municipal MMs and
-surveillance of Traffic Courts;
-Distribution of TIP proceedings, deputing Duty Magistrates and
-Correspondence with the different authorities"
What is Jurisdiction of Additional Chief Metropolitan Magistrates.,"Trial of Criminal cases investigated by Crime Branch and CBI;
-Trial of cases relating to Income Tax Act, Wealth Tax and Companies Act etc."
What is Jurisdiction of Metropolitan Magistrates.,"Dealing with cases under IPC, Punjab Excise Act and Arms Act where sentence is provided upto 3 years;
-Cases under section 138 of the Negotiable Instrument Act;
-Cases of Suppression of Immoral Traffic in Women and Girls Act, 1956
-Delhi Police Act;
-Bail, Remand and Misc. work"
What is Jurisdiction of Court of Railway MM.,Offences under the Railway Act
What is Jurisdiction of Senior Civil Judge.,Original civil cases and the Appellate Jurisdiction of the orders passed by Civil Judges vary in States.
What is Jurisdiction of Judge Small Cause Court Additional Senior Civil Judge.,"Civil cases of a Specific value ;
-Insolvency cases;
-Guardianship cases in regard to child custody;
-Appellate authority of the orders passed by the Civil Judges in regard to recovery of money, property dispute and injunctions etc. of"
What is Jurisdiction of Civil Judges.,"Civil cases of all nature of value specified for the State.
Q17.What is Jurisdiction of Commercial Civil Judge.
Ans. Cases of commercial nature with regard to recovery of money"
What is Jurisdiction of Administrative Civil Judge.,"Cases relating to succession certificates and Administration of ACJ’s Office,
-Nazarat and Process Serving Agency,
-Appointment of Peons and Process Servers and their Posting &
-Transfer Rent Controller Marking of Rent Cases under Delhi Rent Control Act 1958 to the Additional Rent Controllers and
-dealing with the cases of :- Eviction cases; Non Payment of Rent; Sub letting, misuser, nonuser; Bonafide requirement; Unsafe or unfit for human habitation;
-Building and rebuilding;
-Premises used contrary to terms of Govt. / DDA / MCD; Deposit of rent and fixation of standard rent."
What is Jurisdiction of Additional Rent Controller.,"Rent Cases under Delhi Rent Control Act 1958 with regard to :-
-Eviction cases Non Payment of Rent;
-Sub letting, misuser, nonuser;
-Bonafide requirement;
-Unsafe or unfit for human habitation;
-Premises used contrary to terms of Govt. / DDA / MCD; Deposit of rent and
-fixation of standard rent."
"What is the understanding reached with the United States on January 25, 2015 during the visit of President Obama to India?",India and the United States have reached an understanding on the issues related to civil nuclear liability and finalized the text of the Administrative Arrangement to implement the September 2008 bilateral 123 Agreement. This will allow us to move towards commercial negotiations on setting up reactors with international collaboration in India and realize the significant economic and clean energy potential of the civil nuclear understanding of 2005-2008.
How was this understanding reached?,"It may be recalled that during PM’s visit to the U.S. in September 2014, the two leaders reaffirmed their commitment to implement fully the India-U.S. civil nuclear cooperation agreement and established a Contact Group on advancing the implementation of civil nuclear energy cooperation. The Group, comprising representatives from Ministry of External Affairs, Department of Atomic Energy, Nuclear Power Corporation of India Ltd (NPCIL), Ministry of Finance, Ministry of Law & Justice, in addition to the representatives from U.S. Government, also had an interface with the companies – NPCIL on the Indian side and Westinghouse and General Electric on the U.S. side. It met three times in New Delhi (16-17 December 2014), Vienna (6-7 January 2015) and London (January 21-22, 2015). Based on these discussions, an understanding was reached with the U.S. on the two outstanding issues on civil nuclear cooperation, which was confirmed by the leaders on January 25, 2015."
"Has India agreed to amend its Civil Liability for Nuclear Damage Act of 2010 (CLND Act 2010) and the CLND Rules of 2011? If not now, would they be amended in the future?",There is no proposal to amend the Act or the Rules.
How have U.S. concerns over the CLND Act then been resolved?,"During the course of the discussions in the Contact Group, using case law and legislative history, the Indian side presented its position concerning the compatibility of the Civil Liability for Nuclear Damage (CLND) Act and the Convention on Supplementary Compensation for Nuclear Damage (CSC). The idea of the India Nuclear Insurance Pool as a part of the overall risk-management scheme for liability was also presented to the U.S. side. Based on the presentations by the Indian side, and the discussion thereon, there is a general understanding that India’s CLND law is compatible with the CSC, which India has signed and intends to ratify."
What is the CSC?,"The objective of the 1997 Convention on Supplementary Compensation for Nuclear Damage (CSC) is to establish a worldwide liability regime and to increase the amount of compensation available to the victims of nuclear accidents. A State which is a party to either the 1963 Vienna Convention or the 1960 Paris Convention could become a party to the CSC. A State which is not a party to either of these conventions could also become a party to the CSC if its national law on nuclear liability is in compliance with the provision of the CSC and its Annex, which is an integral part of the CSC. India not being party to the Vienna or the Paris Conventions signed the CSC on 29 October 2010 on the basis of its national law namely the CLND Act."
Is India’s CLND Act compatible with the CSC?,"The provisions of the CLND Act are broadly in conformity with the CSC and its Annex in terms of channeling the strict/absolute legal liability to the operator, the limitations of the liability in amount and time, liability cover by insurance or financial security, definitions of nuclear installation, damage, etc. In fact, the CLND Act provides the basis for India joining an appropriate international liability regime such as the CSC. Article XVIII of CSC requires that the national law of a Contracting Party that is not a Party to either the Vienna Convention or the Paris Convention has to comply with the provisions of the Annex to this Convention. The CLND Act is compliant with the Annex to the Convention."
Does the Act channel the liability to the Operator of a nuclear plant as envisaged under CSC?,"Section 4(1) provides that the Operator of the nuclear installation shall be liable for nuclear damage caused by nuclear incident. Further, Section 4(4) provides that the liability of the Operator of the nuclear installation shall be strict and shall be based on the principle of no fault liability. Section 8(1) provides that the Operator shall before he begins operation of his nuclear installation, take out insurance policy or such further financial security covering his liability. All these provisions along with the long title of the Act are clear and ensure that the liability is strict, and channeled to the Operator through a no fault liability regime."
What about Section 17 and the right of recourse against the supplier in Section 17(b)? Are they not going beyond the Annex to the Convention?,"Section 17 of the Act provides that the operator of the nuclear installation, after paying the compensation for nuclear damage in accordance with section 6, shall have the right to recourse where-
a. Such right is expressly provided for in a contract in writing;
b. The nuclear incident has resulted as a consequence of an act of supplier or his employee, which includes supply of equipment or material with patent or latent defects or sub-standard services;
c. The nuclear incident has resulted from the act of commission or omission of an individual done with the intent to cause nuclear damage.
Article 10 of the Annex to the CSC covers situations envisaged in Sections 17(a) and 17(c); Section 17 (b) is ostensibly in addition to situations identified for the right of recourse provided in Article 10 of the Annex to the CSC. However, the situations identified in Section 17(b) relate to actions and matters such as product liability stipulations/conditions or service contracts. These are ordinarily part of a contract between the operator and the supplier. This situation is not novel but is rather a normal element of a contract. Thus this provision is to be read along with/in the context of the relevant clause in the contract between the operator and supplier on product liability. It is open for the operator and the supplier to agree on the terms of their contract relying on the applicable law. The parties to a contract generally elaborate and specify the extent of their obligations pursuant to warranty and indemnity clauses that are normally part of such contracts.
Article 10(a) of the CSC Annex does not restrict in any manner the contents of the contract between the operator and the supplier including the basis for recourse agreed by the operator and supplier. Therefore, in view of the above, in so far as the reference to the supplier in Section 17(b) is concerned, it would be in conformity with and not in contradiction of Article 10(a) of the CSC Annex. Its operationalization will be through contract conditions agreed to by the operator and the supplier."
Does Section 17 establish a mandatory statutory right of recourse?,"Section 17 states that the operator shall have a right of recourse. While it provides a substantive right to the operator, it is not a mandatory but an enabling provision. In other words it permits but does not require an operator to include in the contract or exercise a right of recourse. However, even though there is no mandatory legal requirement under the CLND Act to provide for a right of recourse in a contract, there may be policy reasons for having a risk sharing mechanism including a right of recourse. As a matter of policy, NPCIL, which is a public sector undertaking, would insist that the nuclear supply contracts contain provisions that provide for a right of recourse consistent with Rule 24 of CLND Rules of 2011. Article 10 of the CSC Annex does not specify what position either the operator or the supplier can take in contract negotiations. In this regard, the India Nuclear Insurance Pool has been instituted to facilitate negotiations between the operator and the supplier concerning a right of recourse by providing a source of funds through a market based mechanism to compensate third parties for nuclear damage. It would enable the suppliers to seek insurance to cover the risk of invocation of recourse against them."
Who is the ‘supplier’? Is the supplier always a foreign company?,"Rule 24 of the CLND Rules explains that ‘supplier’ shall include a person who:
(i) manufactures and supplies, either directly or through an agent, a system, equipment or component or builds a structure on the basis of functional specification; or
(ii) provides build to print or detailed design specifications to a vendor for manufacturing a system, equipment or component or building a structure and is responsible to the operator for design and quality assurance; or
(iii) provides quality assurance or design services.
The supplier may not always be a foreign company; there may be domestic suppliers who fulfill the above criteria and in some cases the operator (NPCIL) itself may be a supplier as it provides build to print or detailed design specifications to a vendor."
Does Section 46 permit claims for compensation for nuclear damage to be brought under statutes other than the CLND Act?,"Concerns over the broad scope of Section 46 have been raised by suppliers, both domestic and foreign. Section 46 of the CLND Act provides that ""the provisions of this Act shall be in addition to, and not in derogation of, any other law for the time being in force, and nothing contained herein shall exempt the operator from any proceeding which might, apart from this act, be instituted against such operator”. The language in section 46 of CLND Act 2010 is similar to such language in several other legislations such as Telecom Regulatory Authority Act, Electricity Act, Securities and Exchange Board of India (SEBI) Act, Insurance Commission Act. Such language is provided routinely to underline that other relevant laws continue to be operable in their respective domains."
Does Section 46 extend to suppliers in violation of the CSC?,"No. The CLND Act channels all legal liability for nuclear damage exclusively to the operator and Section 46 does not provide a basis for bringing claims for compensation for nuclear damage under other Acts. That this section applies exclusively to the operator and does not extend to the supplier is confirmed by the Parliamentary debates at the time of the adoption of this Act. It may be noted that the CLND Bill was adopted by a vote. During the course of the vote on various clauses of the Bill, in the Rajya Sabha two amendments were moved for clause 46 that finally became Section 46 of the CLND Act that inter-alia sought to include suppliers in this provision. Both those amendments were negatived. A provision that was expressly excluded from the statute cannot be read into the statute by interpretation. It is well-settled principle of law that every statute is to be interpreted in accordance with the intention of the legislature or maker of the Statute (M/s. Turtuf Safety Glass Industries V Commissioner of Sales Tax U.P., 2007 (9) SCALE 610, and State of Kerala & Anr V P.V. Neelakandan Nair & Ors, 2005 (5) SCALE 424)."
Does Section 46 allow victims to go to foreign courts against the operator or the supplier?,"Section 46 exclusively covers the remedies that are available against the operator. It does not exempt the operator from any other proceedings instituted against him, apart from this Act, nor derogates from any other law in force in India. The provision ""in addition to and not in derogation of” has to be given its normal plain meaning. Section 46 does not affect the applicability of other laws. Therefore it does not exempt the operator from application of other laws covering matters other than the civil liability for nuclear damage. At the same time it does not create the grounds for victims to move foreign courts. In fact that would be against the basic intent of the law to provide a domestic legal framework for victims of nuclear damage to seek compensation. The fact that a specific amendment to introduce the jurisdiction of foreign courts was negatived during the adoption of the CLND Bill buttresses this interpretation."
How will the proposed insurance pool operate for operators and suppliers?,"The India Nuclear Insurance Pool is a risk transfer mechanism formed by GIC Re and 4 other PSUs who will together contribute a capacity of Rs 750 crores out of a total of Rs 1500 crores. The balance capacity will be contributed by the Government on a tapering basis. The pool will cover the risks of the liability of the nuclear operator under Section 6(2) of the CLND Act and of the suppliers under Section 17 of the Act. The Pool envisages three types of policies, including a special suppliers’ contingency policy for suppliers other than turn key suppliers. Operators and suppliers instead of seeing each other as litigating adversaries will see each other as partners managing a risk together. This is as important for Indian suppliers as it is for US or other suppliers. An international workshop will be held in India to exchange information on international experience with the 26 insurance pools operating around the world in countries such as France, Russia, South Africa and the U.S."
What are the kind of insurance policies and premiums envisaged under the Pool?,"The Pool covers risks pertaining to the liability of the nuclear operator under Section 6(2) of the CLND Act as well as the liability of the suppliers under Section 17. Three types of policies are envisaged: a Tier 1 policy for operators; a Tier 2 policy for turn key suppliers and a Tier 3 policy for suppliers other than turn key suppliers. The pricing of premiums will depend on factors such as risk probability, possible severity of damage and exposure to people and property around nuclear installations. GIC Re, the Pool Administrator, is engaged with NPCIL and others to work out the premiums based on risk appraisal. To assist this exercise, a Probabilistic Safety Assessment based study has been carried out by DAE. The scheme is scientific, market based, and benchmarked to international best practices innovated to suit the Indian circumstances."
